"(GNO)

Gnosis
(GNO)","160.44
USD"
"(XDN)

DigitalNote
(XDN)","0.025390
USD"
"(ARDR)

Ardor
(ARDR)","0.517746
USD"
"(POE)

Po.et
(POE)","0.077114
USD"
"(ARK)

Ark
(ARK)","4.66
USD"
"(AGI)

SingularityNET
(AGI)","0.367993
USD"
"(KCS)

KuCoin Shares
(KCS)","5.12
USD"
"(XP)

Experience Points
(XP)","0.000776
USD"
"(GAS)

Gas
(GAS)","46.90
USD"
"(SKY)

Skycoin
(SKY)","21.97
USD"
"(DRGN)

Dragonchain
(DRGN)","1.81
USD"
"(UNITY)

SuperNET
(UNITY)","198.94
USD"
"(STORM)

Storm
(STORM)","0.040016
USD"
"(ZIL)

Zilliqa
(ZIL)","0.066027
USD"
"(CVC)

Civic
(CVC)","0.464494
USD"
"(DGB)

DigiByte
(DGB)","0.043469
USD"
"(SUB)

Substratum
(SUB)","0.699473
USD"
"(LRC)

Loopring
(LRC)","0.760304
USD"
"(BAT)

Basic Attention Token
(BAT)","0.421216
USD"
"(BTCD)

BitcoinDark
(BTCD)","120.02
USD"
"(GBYTE)

Byteball Bytes
(GBYTE)","627.64
USD"
"(STORJ)

Storj
(STORJ)","1.15
USD"
"(ELF)

aelf
(ELF)","1.53
USD"
"(BTM)

Bytom
(BTM)","0.382644
USD"
"(VEE)

BLOCKv
(VEE)","0.099729
USD"
"(NXS)

Nexus
(NXS)","2.59
USD"
"(SYS)

Syscoin
(SYS)","0.707110
USD"
"(ACT)

Achain
(ACT)","0.485989
USD"
"(ZEN)

ZenCash
(ZEN)","44.10
USD"
"(GNT)

Golem
(GNT)","0.444641
USD"
"(UCASH)

U.CASH
(UCASH)","0.093020
USD"
"(MANA)

Decentraland
(MANA)","0.129811
USD"
"(POLY)

Polymath
(POLY)","1.53
USD"
"(HPB)

High Performance Blockchain
(HPB)","6.13
USD"
"(LEND)

ETHLend
(LEND)","0.125914
USD"
"(QASH)

QASH
(QASH)","1.02
USD"
"(BCO)

BridgeCoin
(BCO)","4.98
USD"
"(CNX)

Cryptonex
(CNX)","7.92
USD"
"(MONA)

MonaCoin
(MONA)","6.13
USD"
"(ADX)

AdEx
(ADX)","1.78
USD"
"(TNB)

Time New Bank
(TNB)","0.076778
USD"
"(KNC)

Kyber Network
(KNC)","2.58
USD"
"(AION)

Aion
(AION)","3.85
USD"
"(NAV)

NAV Coin
(NAV)","2.01
USD"
"(PIVX)

PIVX
(PIVX)","6.12
USD"
"(ANT)

Aragon
(ANT)","4.67
USD"
"(NAS)

Nebulas
(NAS)","9.58
USD"
"(DCN)

Dentacoin
(DCN)","0.000993
USD"
"(IOST)

IOStoken
(IOST)","0.047161
USD"
"(MED)

MediBloc
(MED)","0.041915
USD"
"(ETHOS)

Ethos
(ETHOS)","4.14
USD"
"(UBQ)

Ubiq
(UBQ)","3.11
USD"
"(MCO)

Monaco
(MCO)","9.26
USD"
"(BTX)

Bitcore
(BTX)","26.00
USD"
"(GXS)

GXShares
(GXS)","4.96
USD"
"(XPA)

XPA
(XPA)","0.122268
USD"
"(LINK)

ChainLink
(LINK)","0.824522
USD"
"(RPX)

Red Pulse
(RPX)","0.219161
USD"
"(FCT)

Factom
(FCT)","32.92
USD"
"(DTR)

Dynamic Trading Rights
(DTR)","0.099818
USD"
"(POWR)

Power Ledger
(POWR)","0.776464
USD"
"(FUN)

FunFair
(FUN)","0.061885
USD"
"(DEW)

DEW
(DEW)","1.16
USD"
"(DENT)

Dent
(DENT)","0.025239
USD"
"(XZC)

ZCoin
(XZC)","64.52
USD"
"(RLC)

iExec RLC
(RLC)","1.48
USD"
"(NXT)

Nxt
(NXT)","0.266768
USD"
"(BIX)

Bibox Token
(BIX)","1.10
USD"
"(SALT)

SALT
(SALT)","4.88
USD"
"(TEL)

Telcoin
(TEL)","0.004415
USD"
"(PLR)

Pillar
(PLR)","1.10
USD"
"(SPHTX)

SophiaTX
(SPHTX)","0.609922
USD"
"(CND)

Cindicator
(CND)","0.172579
USD"
"(MDS)

MediShares
(MDS)","0.238579
USD"
"(KIN)

Kin
(KIN)","0.000329
USD"
"(AMB)

Ambrosus
(AMB)","0.796642
USD"
"(NEBL)

Neblio
(NEBL)","18.85
USD"
"(PPP)

PayPie
(PPP)","1.37
USD"
"(PART)

Particl
(PART)","26.91
USD"
"(ENG)

Enigma
(ENG)","3.17
USD"
"(BNT)

Bancor
(BNT)","5.66
USD"
"(RDD)

ReddCoin
(RDD)","0.007576
USD"
"(GVT)

Genesis Vision
(GVT)","28.17
USD"
"(PAY)

TenX
(PAY)","2.07
USD"
"(VIBE)

VIBE
(VIBE)","0.515542
USD"
"(EMC)

Emercoin
(EMC)","5.12
USD"
"(ITC)

IoT Chain
(ITC)","2.69
USD"
"(MAID)

MaidSafeCoin
(MAID)","0.462852
USD"
"(PRL)

Oyster
(PRL)","1.44
USD"
"(IGNIS)

Ignis
(IGNIS)","0.274250
USD"
"(BLZ)

Bluzelle
(BLZ)","0.620618
USD"
"(SMART)

SmartCash
(SMART)","0.290391
USD"
"(HTML)

HTMLCOIN
(HTML)","0.001549
USD"
"(REQ)

Request Network
(REQ)","0.320788
USD"
"(WGR)

Wagerr
(WGR)","0.552301
USD"
"(PPC)

Peercoin
(PPC)","4.08
USD"
"(WAX)

WAX
(WAX)","0.415669
USD"
"(THETA)

Theta Token
(THETA)","0.170948
USD"
"(QSP)

Quantstamp
(QSP)","0.325201
USD"
"(BLOCK)

Blocknet
(BLOCK)","39.39
USD"
"(SNM)

SONM
(SNM)","0.277356
USD"
"(SAN)

Santiment Network Token
(SAN)","3.05
USD"
"(ICN)

Iconomi
(ICN)","1.87
USD"
"(GAME)

GameCredits
(GAME)","2.88
USD"
"(AGRS)

Agoras Tokens
(AGRS)","2.35
USD"
"(RDN)

Raiden Network Token
(RDN)","3.67
USD"
"(DBC)

DeepBrain Chain
(DBC)","0.108978
USD"
"(VTC)

Vertcoin
(VTC)","4.28
USD"
"(AST)

AirSwap
(AST)","0.645472
USD"
"(ENJ)

Enjin Coin
(ENJ)","0.234899
USD"
"(XAS)

Asch
(XAS)","1.01
USD"
"(GNO)

Gnosis
(GNO)","160.44
USD"
"(MTL)

Metal
(MTL)","4.85
USD"
"(XDN)

DigitalNote
(XDN)","0.025390
USD"
"(C20)

CRYPTO20
(C20)","2.36
USD"
"(POE)

Po.et
(POE)","0.077114
USD"
"(XBY)

XTRABYTES
(XBY)","0.214420
USD"
"(AGI)

SingularityNET
(AGI)","0.367993
USD"
"(XP)

Experience Points
(XP)","0.000776
USD"
"(EDO)

Eidoo
(EDO)","3.09
USD"
"(SKY)

Skycoin
(SKY)","21.97
USD"
"(OST)

Simple Token
(OST)","0.335008
USD"
"(RCN)

Ripio Credit Network
(RCN)","0.181920
USD"
"(STORM)

Storm
(STORM)","0.040016
USD"
"(UNITY)

SuperNET
(UNITY)","198.94
USD"
"(APPC)

AppCoins
(APPC)","0.883342
USD"
"(EMC2)

Einsteinium
(EMC2)","0.407881
USD"
"(CVC)

Civic
(CVC)","0.464494
USD"
"(MLN)

Melon
(MLN)","145.40
USD"
"(SUB)

Substratum
(SUB)","0.699473
USD"
"(BTCD)

BitcoinDark
(BTCD)","120.02
USD"
"(SRN)

SIRIN LABS Token
(SRN)","0.878502
USD"
"(CMT)

CyberMiles
(CMT)","0.193155
USD"
"(STORJ)

Storj
(STORJ)","1.15
USD"
"(JNT)

Jibrel Network
(JNT)","0.572586
USD"
"(VEE)

BLOCKv
(VEE)","0.099729
USD"
"(ACT)

Achain
(ACT)","0.485989
USD"
"(WABI)

WaBi
(WABI)","1.89
USD"
"(DATA)

Streamr DATAcoin
(DATA)","0.123579
USD"
"(NXS)

Nexus
(NXS)","2.59
USD"
"(INS)

INS Ecosystem
(INS)","2.97
USD"
"(ZEN)

ZenCash
(ZEN)","44.10
USD"
"(PAC)

PACcoin
(PAC)","0.000032
USD"
"(UCASH)

U.CASH
(UCASH)","0.093020
USD"
"(FUEL)

Etherparty
(FUEL)","0.166645
USD"
"(MANA)

Decentraland
(MANA)","0.129811
USD"
"(VIA)

Viacoin
(VIA)","3.56
USD"
"(HPB)

High Performance Blockchain
(HPB)","6.13
USD"
"(ETP)

Metaverse ETP
(ETP)","2.17
USD"
"(LEND)

ETHLend
(LEND)","0.125914
USD"
"(SNGLS)

SingularDTV
(SNGLS)","0.135374
USD"
"(BCO)

BridgeCoin
(BCO)","4.98
USD"
"(XCP)

Counterparty
(XCP)","29.82
USD"
"(ADX)

AdEx
(ADX)","1.78
USD"
"(GTO)

Gifto
(GTO)","0.492061
USD"
"(NAV)

NAV Coin
(NAV)","2.01
USD"
"(BAY)

BitBay
(BAY)","0.076479
USD"
"(TNB)

Time New Bank
(TNB)","0.076778
USD"
"(ANT)

Aragon
(ANT)","4.67
USD"
"(NULS)

Nuls
(NULS)","3.26
USD"
"(MED)

MediBloc
(MED)","0.041915
USD"
"(COB)

Cobinhood
(COB)","0.214423
USD"
"(BRD)

Bread
(BRD)","1.02
USD"
"(UBQ)

Ubiq
(UBQ)","3.11
USD"
"(XPA)

XPA
(XPA)","0.122268
USD"
"(PURA)

Pura
(PURA)","0.431033
USD"
"(MCO)

Monaco
(MCO)","9.26
USD"
"(EDG)

Edgeless
(EDG)","0.906492
USD"
"(DEW)

DEW
(DEW)","1.16
USD"
"(BURST)

Burst
(BURST)","0.040465
USD"
"(SPANK)

SpankChain
(SPANK)","0.241456
USD"
"(RPX)

Red Pulse
(RPX)","0.219161
USD"
"(MGO)

MobileGo
(MGO)","0.727907
USD"
"(DTR)

Dynamic Trading Rights
(DTR)","0.099818
USD"
"(WINGS)

Wings
(WINGS)","0.790721
USD"
"(RLC)

iExec RLC
(RLC)","1.48
USD"
"(QRL)

Quantum Resistant Ledger
(QRL)","1.36
USD"
"(TEL)

Telcoin
(TEL)","0.004415
USD"
"(TNC)

Trinity Network Credit
(TNC)","0.210621
USD"
"(BIX)

Bibox Token
(BIX)","1.10
USD"
"(UTK)

UTRUST
(UTK)","0.254706
USD"
"(SPHTX)

SophiaTX
(SPHTX)","0.609922
USD"
"(AMB)

Ambrosus
(AMB)","0.796642
USD"
"(AEON)

Aeon
(AEON)","4.39
USD"
"(MDS)

MediShares
(MDS)","0.238579
USD"
"(TRIG)

Triggers
(TRIG)","2.11
USD"
"(PPP)

PayPie
(PPP)","1.37
USD"
"(TNT)

Tierion
(TNT)","0.158680
USD"
"(GVT)

Genesis Vision
(GVT)","28.17
USD"
"(CTR)

Centra
(CTR)","0.980006
USD"
"(VIBE)

VIBE
(VIBE)","0.515542
USD"
"(BTO)

Bottos
(BTO)","0.184675
USD"
"(ITC)

IoT Chain
(ITC)","2.69
USD"
"(MOD)

Modum
(MOD)","3.58
USD"
"(BLZ)

Bluzelle
(BLZ)","0.620618
USD"
"(DPY)

Delphy
(DPY)","2.04
USD"
"(PRL)

Oyster
(PRL)","1.44
USD"
"(ECC)

ECC
(ECC)","0.002533
USD"
"(HTML)

HTMLCOIN
(HTML)","0.001549
USD"
"(DNT)

district0x
(DNT)","0.105611
USD"
"(WGR)

Wagerr
(WGR)","0.552301
USD"
"(SOC)

All Sports
(SOC)","0.143428
USD"
"(PPC)

Peercoin
(PPC)","4.08
USD"
"(MNX)

MinexCoin
(MNX)","20.96
USD"
"(IDH)

indaHash
(IDH)","0.159785
USD"
"(SNM)

SONM
(SNM)","0.277356
USD"
"(NLG)

Gulden
(NLG)","0.153472
USD"
"(THETA)

Theta Token
(THETA)","0.170948
USD"
"(AGRS)

Agoras Tokens
(AGRS)","2.35
USD"
"(CDT)

CoinDash
(CDT)","0.090626
USD"
"(DBC)

DeepBrain Chain
(DBC)","0.108978
USD"
"(RISE)

Rise
(RISE)","0.520108
USD"
"(AST)

AirSwap
(AST)","0.645472
USD"
"(LBC)

LBRY Credits
(LBC)","0.393671
USD"
"(XAS)

Asch
(XAS)","1.01
USD"
"(QLC)

QLINK
(QLC)","0.242189
USD"
"(THC)

HempCoin
(THC)","0.246818
USD"
"(MTL)

Metal
(MTL)","4.85
USD"
"(ATM)

ATMChain
(ATM)","0.011945
USD"
"(C20)

CRYPTO20
(C20)","2.36
USD"
"(WPR)

WePower
(WPR)","0.155910
USD"
"(XBY)

XTRABYTES
(XBY)","0.214420
USD"
"(ION)

ION
(ION)","2.80
USD"
"(OST)

Simple Token
(OST)","0.335008
USD"
"(TAAS)

TaaS
(TAAS)","6.75
USD"
"(EDO)

Eidoo
(EDO)","3.09
USD"
"(HVN)

Hive
(HVN)","0.148738
USD"
"(RCN)

Ripio Credit Network
(RCN)","0.181920
USD"
"(INT)

Internet Node Token
(INT)","0.362294
USD"
"(APPC)

AppCoins
(APPC)","0.883342
USD"
"(CRW)

Crown
(CRW)","3.18
USD"
"(EMC2)

Einsteinium
(EMC2)","0.407881
USD"
"(NGC)

NAGA
(NGC)","0.929371
USD"
"(MLN)

Melon
(MLN)","145.40
USD"
"(SLS)

SaluS
(SLS)","52.55
USD"
"(SRN)

SIRIN LABS Token
(SRN)","0.878502
USD"
"(CLOAK)

CloakCoin
(CLOAK)","10.37
USD"
"(CMT)

CyberMiles
(CMT)","0.193155
USD"
"(GRS)

Groestlcoin
(GRS)","0.749543
USD"
"(JNT)

Jibrel Network
(JNT)","0.572586
USD"
"(COSS)

COSS
(COSS)","0.792090
USD"
"(WABI)

WaBi
(WABI)","1.89
USD"
"(COLX)

ColossusCoinXT
(COLX)","0.004799
USD"
"(DATA)

Streamr DATAcoin
(DATA)","0.123579
USD"
"(INS)

INS Ecosystem
(INS)","2.97
USD"
"(UKG)

Unikoin Gold
(UKG)","0.364205
USD"
"(DCT)

DECENT
(DCT)","0.983714
USD"
"(VIA)

Viacoin
(VIA)","3.56
USD"
"(NET)

Nimiq
(NET)","4.79
USD"
"(SBD)

Steem Dollars
(SBD)","5.44
USD"
"(MER)

Mercury
(MER)","0.494825
USD"
"(PRE)

Presearch
(PRE)","0.318976
USD"
"(PAC)

PACcoin
(PAC)","0.000032
USD"
"(FTC)

Feathercoin
(FTC)","0.254854
USD"
"(SNGLS)

SingularDTV
(SNGLS)","0.135374
USD"
"(ADT)

adToken
(ADT)","0.081350
USD"
"(ETP)

Metaverse ETP
(ETP)","2.17
USD"
"(VIB)

Viberate
(VIB)","0.291708
USD"
"(FUEL)

Etherparty
(FUEL)","0.166645
USD"
"(XCP)

Counterparty
(XCP)","29.82
USD"
"(TRAC)

OriginTrail
(TRAC)","0.186067
USD"
"(GTO)

Gifto
(GTO)","0.492061
USD"
"(SAFEX)

Safe Exchange Coin
(SAFEX)","0.030628
USD"
"(BAY)

BitBay
(BAY)","0.076479
USD"
"(ONION)

DeepOnion
(ONION)","4.47
USD"
"(NULS)

Nuls
(NULS)","3.26
USD"
"(NMC)

Namecoin
(NMC)","3.12
USD"
"(COB)

Cobinhood
(COB)","0.214423
USD"
"(BRD)

Bread
(BRD)","1.02
USD"
"(PURA)

Pura
(PURA)","0.431033
USD"
"(TKN)

TokenCard
(TKN)","1.87
USD"
"(EDG)

Edgeless
(EDG)","0.906492
USD"
"(HST)

Decision Token
(HST)","1.45
USD"
"(BURST)

Burst
(BURST)","0.040465
USD"
"(CAPP)

Cappasity
(CAPP)","0.137226
USD"
"(1ST)

FirstBlood
(1ST)","0.528393
USD"
"(SPANK)

SpankChain
(SPANK)","0.241456
USD"
"(LUN)

Lunyr
(LUN)","19.50
USD"
"(MGO)

MobileGo
(MGO)","0.727907
USD"
"(TSL)

Energo
(TSL)","0.075757
USD"
"(WINGS)

Wings
(WINGS)","0.790721
USD"
"(EVX)

Everex
(EVX)","2.68
USD"
"(BTC)

Bitcoin
(BTC)","11093.50
USD"
"(QRL)

Quantum Resistant Ledger
(QRL)","1.36
USD"
"(PEPECASH)

Pepe Cash
(PEPECASH)","0.061170
USD"
"(TNC)

Trinity Network Credit
(TNC)","0.210621
USD"
"(DAT)

Datum
(DAT)","0.051472
USD"
"(AEON)

Aeon
(AEON)","4.39
USD"
"(DIME)

Dimecoin
(DIME)","0.000079
USD"
"(TNT)

Tierion
(TNT)","0.158680
USD"
"(LKK)

Lykke
(LKK)","0.154414
USD"
"(UTK)

UTRUST
(UTK)","0.254706
USD"
"(QBT)

Qbao
(QBT)","0.588649
USD"
"(TRIG)

Triggers
(TRIG)","2.11
USD"
"(DMD)

Diamond
(DMD)","15.74
USD"
"(CTR)

Centra
(CTR)","0.980006
USD"
"(HMQ)

Humaniq
(HMQ)","0.255838
USD"
"(BTO)

Bottos
(BTO)","0.184675
USD"
"(BCPT)

BlockMason Credit Protocol
(BCPT)","0.924551
USD"
"(MOD)

Modum
(MOD)","3.58
USD"
"(SIB)

SIBCoin
(SIB)","2.55
USD"
"(IDH)

indaHash
(IDH)","0.159785
USD"
"(OCN)

Odyssey
(OCN)","0.020509
USD"
"(DNT)

district0x
(DNT)","0.105611
USD"
"(IOC)

I/O Coin
(IOC)","2.48
USD"
"(ECC)

ECC
(ECC)","0.002533
USD"
"(POT)

PotCoin
(POT)","0.186337
USD"
"(SOC)

All Sports
(SOC)","0.143428
USD"
"(MTH)

Monetha
(MTH)","0.186715
USD"
"(MNX)

MinexCoin
(MNX)","20.96
USD"
"(SWFTC)

SwftCoin
(SWFTC)","0.022898
USD"
"(ECA)

Electra
(ECA)","0.001533
USD"
"(DPY)

Delphy
(DPY)","2.04
USD"
"(MOON)

Mooncoin
(MOON)","0.000177
USD"
"(NLG)

Gulden
(NLG)","0.153472
USD"
"(XWC)

WhiteCoin
(XWC)","0.154799
USD"
"(CDT)

CoinDash
(CDT)","0.090626
USD"
"(INK)

Ink
(INK)","0.217703
USD"
"(RISE)

Rise
(RISE)","0.520108
USD"
"(KEY)

Selfkey
(KEY)","0.020042
USD"
"(LBC)

LBRY Credits
(LBC)","0.393671
USD"
"(BITCNY)

bitCNY
(BITCNY)","0.159898
USD"
"(QLC)

QLINK
(QLC)","0.242189
USD"
"(GTC)

Game.com
(GTC)","0.123691
USD"
"(THC)

HempCoin
(THC)","0.246818
USD"
"(HVN)

Hive
(HVN)","0.148738
USD"
"(DLT)

Agrello
(DLT)","0.429769
USD"
"(ATM)

ATMChain
(ATM)","0.011945
USD"
"(YOYOW)

YOYOW
(YOYOW)","0.159010
USD"
"(TAU)

Lamden
(TAU)","0.257611
USD"
"(ION)

ION
(ION)","2.80
USD"
"(CV)

carVertical
(CV)","0.007144
USD"
"(WPR)

WePower
(WPR)","0.155910
USD"
"(TAAS)

TaaS
(TAAS)","6.75
USD"
"(SHIFT)

Shift
(SHIFT)","3.11
USD"
"(CRW)

Crown
(CRW)","3.18
USD"
"(CFI)

Cofound.it
(CFI)","0.111802
USD"
"(INT)

Internet Node Token
(INT)","0.362294
USD"
"(FLASH)

Flash
(FLASH)","0.039953
USD"
"(NGC)

NAGA
(NGC)","0.929371
USD"
"(XSPEC)

Spectrecoin
(XSPEC)","1.70
USD"
"(SLS)

SaluS
(SLS)","52.55
USD"
"(BCC)

BitConnect
(BCC)","3.86
USD"
"(CLOAK)

CloakCoin
(CLOAK)","10.37
USD"
"(VOX)

Voxels
(VOX)","0.167768
USD"
"(GRS)

Groestlcoin
(GRS)","0.749543
USD"
"(SNC)

SunContract
(SNC)","0.301094
USD"
"(COSS)

COSS
(COSS)","0.792090
USD"
"(XSH)

SHIELD
(XSH)","0.071048
USD"
